Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ΑΒΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.10@ΑΒΔ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐστὶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.10@ἐστὶν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.7@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.7@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.8@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ὥστε,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.8@ἔστω
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@τινὰ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.9@τῆ HA
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@ἐστι,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.9@ἐστι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐκπεσούσης,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.10@ἐκπεσούσης
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐκπεσούσης,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.10@ἐμπεσούσης
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐστὶ[1],agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.10@ἐστὶ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ΑΔB,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.10@ΑΔΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@εἰσὶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.11@εἰσὶν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@ἐστι[3],disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.11@ἐστιν[3]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@τοῦ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.11@τὸ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@τοῦ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.11@τῶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@ΑBΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.11@ΑEΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.8@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ὥστε,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.8@ὥστε
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ἀγομένην,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.8@ἀγομένη
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ΑΔΓ,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.8@ΑΔΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@AN,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.9@AH
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@ἐστι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.9@ἐστιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐστι[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.10@ἐστιν[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐστὶ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.10@ἐστὶ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@τὸν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.10@τῶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐστὶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.10@ἐστὶν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@ἐστι[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.11@ἐστιν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@ἐστι[5],disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.11@ἐστιν[5]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.8@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ὥστε,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.8@ἔστω
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8@ἀγομένην,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.8@ἀγομένη
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@AN,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.9@AN
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9@ἐστι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.9@ἐστιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐστι[1],agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.10@ἐστι[1]
