Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3@κώνων,agrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.3@κώνων
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.5@ὁμοίως,agrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.5@ὁμοίως
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9@λήμμασιν,agrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.corollaries.9@λήμμασιν
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1@τῶ,agrees,urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.1@τῶ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2@ὡς,agrees,urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.2@ὡς
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5@ΩΦ[1],agrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.5@ΩΦ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6@ΒΘ,agrees,urn:cts:greekLit:tlg0552.tlg001.msG:2.propositions.6@ΒΘ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.2@ἔχωσιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.postulates.2@ἔχουσιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.propositions.2@τὰ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@τουτέστιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.propositions.3@τουτέστι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ΗΞ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.propositions.3@ΝΞ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἀπολείμματα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.6@ἀπολίμματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@περιλείμματα[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.6@περιλίμματα[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.7@τὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.7@τῶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@δὲ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.propositions.10@δὴ
