EutociusUrn,EutociusImageReference,Order
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,"urn:cite:ecod:codbod8.cb-0008_187v@0.3694,0.1073,0.5886,0.6767",074
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_195v@0.4084,0.1223,0.5606,0.6744",093
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_201r@0.0731,0.114,0.5816,0.6714",104
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_205v@0.3614,0.1215,0.5946,0.6827",115
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5.synthesis,"urn:cite:ecod:codbod8.cb-0008_209v@0.3483,0.5596,0.6126,0.2588",126
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8.lemma,"urn:cite:ecod:codbod8.cb-0008_213r@0.0601,0.1305,0.6126,0.4636",137
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,"urn:cite:ecod:codbod8.cb-0008_217v@0.3804,0.1245,0.5826,0.6662",148
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.apollonius,"urn:cite:ecod:codbod8.cb-0008_181v@0.3654,0.1575,0.5836,0.3683",056
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.otherwise,"urn:cite:ecod:codbod8.cb-0008_185r@0.044,0.5521,0.7728,0.2566",067
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,"urn:cite:ecod:codbod8.cb-0008_188v@0.3834,0.1178,0.5736,0.2078",076
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,"urn:cite:ecod:codbod8.cb-0008_190r@0.0631,0.1223,0.5746,0.6797",079
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,"urn:cite:ecod:codbod8.cb-0008_191r@0.041,0.5184,0.6046,0.2671",082
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,"urn:cite:ecod:codbod8.cb-0008_192v@0.3483,0.2776,0.6296,0.5371",085
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_195r@0.0521,0.114,0.6086,0.6977",092
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_200v@0.3744,0.1035,0.5896,0.7127",103
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_205r@0.0681,0.1253,0.5896,0.7202",114
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,"urn:cite:ecod:codbod8.cb-0008_209v@0.4084,0.1178,0.5526,0.4486",125
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8.lemma,"urn:cite:ecod:codbod8.cb-0008_212v@0.3904,0.3143,0.5606,0.4854",136
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,"urn:cite:ecod:codbod8.cb-0008_217r@0.0611,0.1215,0.5876,0.6894",147
