ObservationId,DiagramUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team#.36,urn:cite:ap:figures.004@β[1],β,"urn:cite:ecod:codbod8.cb-0008_005r@0.5141,0.4504,0.0176,0.0142",beta
urn:cite:openpal:team#.37,urn:cite:ap:figures.004@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_005r@0.4263,0.5147,0.0138,0.0123",gamma
urn:cite:openpal:team#.38,urn:cite:ap:figures.004@δ[1],δ,"urn:cite:ecod:codbod8.cb-0008_005r@0.4075,0.4551,0.0201,0.0142",delta
urn:cite:openpal:team#.39,urn:cite:ap:figures.004@β[2],β,"urn:cite:ecod:codbod8.cb-0008_005r@0.5793,0.4447,0.0163,0.017",beta (?)
urn:cite:openpal:team#.40,urn:cite:ap:figures.004@ζ[1],ζ,"urn:cite:ecod:codbod8.cb-0008_005r@0.6069,0.4504,0.0163,0.0132",zeta
urn:cite:openpal:team#.41,urn:cite:ap:figures.004@θ[1],θ,"urn:cite:ecod:codbod8.cb-0008_005r@0.6433,0.5157,0.0188,0.017",theta
urn:cite:openpal:team#.42,urn:cite:ap:figures.004@κ[1],κ,"urn:cite:ecod:codbod8.cb-0008_005r@0.5392,0.44,0.0151,0.0104",kappa (?)
urn:cite:openpal:team#.43,urn:cite:ap:figures.004@κ[2],κ,"urn:cite:ecod:codbod8.cb-0008_005r@0.6395,0.3728,0.0276,0.0218",kappa (?)
urn:cite:openpal:team#.44,urn:cite:ap:figures.004@μ[1],μ,"urn:cite:ecod:codbod8.cb-0008_005r@0.4827,0.4381,0.0163,0.0151",mu
urn:cite:openpal:team#.45,urn:cite:ap:figures.004@ν[1],ν,"urn:cite:ecod:codbod8.cb-0008_005r@0.4802,0.3955,0.0151,0.0123",nu
urn:cite:openpal:team#.46,urn:cite:ap:figures.004@ξ[1],ξ,"urn:cite:ecod:codbod8.cb-0008_005r@0.4225,0.3709,0.0151,0.0142",xi
urn:cite:openpal:team#.47,urn:cite:ap:figures.004@ο[1],ο,"urn:cite:ecod:codbod8.cb-0008_005r@0.5204,0.4239,0.0176,0.0142",omicron
urn:cite:openpal:team#.48,urn:cite:ap:figures.005@α[1],α,"urn:cite:ecod:codbod8.cb-0008_005v@0.4126,0.3528,0.0264,0.0114",alpha
urn:cite:openpal:team#.49,urn:cite:ap:figures.005@β[1],β,"urn:cite:ecod:codbod8.cb-0008_005v@0.4854,0.3215,0.0213,0.0161",beta
urn:cite:openpal:team#.50,urn:cite:ap:figures.005@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_005v@0.4992,0.3841,0.0188,0.0171",gamma
